,Area,Year,Value,pct_ch,log_value,logpct_ch
2536,Hillingdon,2009,230000,-6.122448979591832,12.345834587905333,-0.5091371822172008
2716,Hillingdon,2010,249999,8.695217391304343,12.429212196836383,0.6753501218356828
2896,Hillingdon,2011,249950,-0.019600078400316967,12.429016176841717,-0.0015770910622658896
3076,Hillingdon,2012,250000,0.02000400080015563,12.429216196844383,0.00160929875558935
3256,Hillingdon,2013,269950,7.980000000000009,12.505992035646432,0.6177045888182464
3436,Hillingdon,2014,305750,13.261715132431927,12.63052305354942,0.9957708076898664
3616,Hillingdon,2015,352250,15.208503679476703,12.772096429760927,1.12088292473147
3796,Hillingdon,2016,400000,13.555713271823988,12.89921982609012,0.9953213008396578
3976,Hillingdon,2017,415000,3.750000000000009,12.936033799212835,0.2853968970143006
2177,Hounslow,2007,249995,,12.42919619664438,
2357,Hounslow,2008,249000,-0.3980079601592079,12.425208175446844,-0.03208591395968963
2537,Hounslow,2009,240000,-3.6144578313253017,12.388394202324129,-0.2962845579960738
2717,Hounslow,2010,249950,4.1458333333333375,12.429016176841717,0.32790347041078416
2897,Hounslow,2011,250000,0.02000400080015563,12.429216196844383,0.00160929875558935
3077,Hounslow,2012,265000,6.000000000000005,12.487485104968359,0.46880597457761297
3257,Hounslow,2013,280000,5.660377358490565,12.542544882151386,0.44091966252772785
3437,Hounslow,2014,319950,14.267857142857142,12.675920012567607,1.0633817273081547
3617,Hounslow,2015,355000,10.954836693233316,12.779873068457553,0.8200829272106525
3797,Hounslow,2016,380000,7.042253521126751,12.84792653170257,0.5325050012662702
3977,Hounslow,2017,395000,3.9473684210526327,12.886641043883259,0.3013288726796626
2178,Islington,2007,347000,,12.757080058928997,
2358,Islington,2008,350000,0.8645533141210304,12.765688433465597,0.06747919192193752
2538,Islington,2009,345000,-1.4285714285714235,12.751299696013497,-0.11271415190096112
2718,Islington,2010,387498,12.318260869565222,12.867465966471897,0.9110151374978503
2898,Islington,2011,399995,3.2250489034782115,12.899207326011993,0.24667918005614187
3078,Islington,2012,410000,2.5012812660158312,12.92391243868049,0.19152427001214445
3258,Islington,2013,465000,13.414634146341452,13.049792684569493,0.9740103585989202
3438,Islington,2014,535000,15.053763440860223,13.190022025878143,1.0745714104290816
3618,Islington,2015,580000,8.411214953271017,13.270783382522602,0.6122912947833514
3798,Islington,2016,620000,6.896551724137923,13.337474757021274,0.5025428610831328
3978,Islington,2017,615000,-0.8064516129032251,13.329377546788654,-0.06071021973899082
2179,Kensington and Chelsea,2007,640000,,13.369223455335854,
2359,Kensington and Chelsea,2008,701000,9.531249999999991,13.460263166016727,0.6809648367761989
2539,Kensington and Chelsea,2009,680000,-2.9957203994293913,13.42984807715229,-0.22596206693213938
2719,Kensington and Chelsea,2010,750000,10.294117647058831,13.527828485512494,0.7295719787545174
2899,Kensington and Chelsea,2011,790750,5.4333333333333345,13.580737141167896,0.3911097461951396
3079,Kensington and Chelsea,2012,890714,12.641669301296243,13.699778667271062,0.8765468683014976
