,id,Year,Borough,Frequency
549,37,2016,London,30174
550,38,2016,London,30199
551,39,2016,London,27942
552,40,2016,London,23288
553,41,2016,London,23531
554,42,2016,London,29132
555,43,2016,London,20899
556,44,2016,London,28217
557,45,2016,London,13593
558,46,2016,London,17471
559,47,2016,London,22738
560,48,2016,London,22858
561,49,2016,London,27852
562,50,2016,London,20256
563,51,2016,London,10359
564,52,2016,London,35442
565,53,2016,London,24928
566,54,2016,London,13227
567,55,2016,London,31167
568,56,2016,London,20185
569,57,2016,London,11448
570,58,2016,London,32502
571,59,2016,London,11030
572,60,2016,London,30638
573,61,2016,London,21460
574,62,2016,London,24690
575,63,2016,London,50212
576,0,2017,Barking and Dagenham,18674
577,1,2017,Barnet,26999
578,2,2017,Bexley,14822
579,3,2017,Brent,29760
580,4,2017,Bromley,22786
581,5,2017,Camden,37944
582,6,2017,Croydon,30588
583,7,2017,Ealing,28317
584,8,2017,Enfield,25225
585,9,2017,Greenwich,25525
586,10,2017,Hackney,31827
587,11,2017,Hammersmith and Fulham,21718
588,12,2017,Haringey,30331
589,13,2017,Harrow,13957
590,14,2017,Havering,18965
591,15,2017,Hillingdon,28423
592,16,2017,Hounslow,24878
593,17,2017,Islington,32210
594,18,2017,Kensington and Chelsea,21517
595,19,2017,Kingston upon Thames,11489
596,20,2017,Lambeth,34961
597,21,2017,Lewisham,25125
598,22,2017,Merton,13779
599,23,2017,Newham,34552
600,24,2017,Redbridge,23448
601,25,2017,Richmond upon Thames,13237
602,26,2017,Southwark,34124
603,27,2017,Sutton,12058
604,28,2017,Tower Hamlets,32029
605,29,2017,Waltham Forest,22808
606,30,2017,Wandsworth,25328
607,31,2017,Westminster,57216
608,32,2017,London,18674
609,33,2017,London,26999
610,34,2017,London,14822
611,35,2017,London,29760
612,36,2017,London,22786
613,37,2017,London,37944
614,38,2017,London,30588
615,39,2017,London,28317
616,40,2017,London,25225
617,41,2017,London,25525
618,42,2017,London,31827
619,43,2017,London,21718
620,44,2017,London,30331
621,45,2017,London,13957
622,46,2017,London,18965
623,47,2017,London,28423
624,48,2017,London,24878
625,49,2017,London,32210
626,50,2017,London,21517
627,51,2017,London,11489
628,52,2017,London,34961
629,53,2017,London,25125
630,54,2017,London,13779
631,55,2017,London,34552
632,56,2017,London,23448
633,57,2017,London,13237
634,58,2017,London,34124
635,59,2017,London,12058
636,60,2017,London,32029
637,61,2017,London,22808
638,62,2017,London,25328
639,63,2017,London,57216
640,0,2018,Barking and Dagenham,18197
